code,system
F163200,readv2
N112300,readv2
N11z000,readv2
N11z100,readv2
F337200,readv2
N11A.00,readv2
N11..00,readv2
N11z.00,readv2
N11zz00,readv2
10121.0,med
103137.0,med
1100.0,med
11688.0,med
15015.0,med
1565.0,med
15744.0,med
17092.0,med
17766.0,med
18205.0,med
18217.0,med
18826.0,med
19386.0,med
2001.0,med
20791.0,med
22452.0,med
2294.0,med
23699.0,med
27583.0,med
2881.0,med
3447.0,med
35838.0,med
35851.0,med
37097.0,med
38501.0,med
41378.0,med
41516.0,med
45730.0,med
47024.0,med
48810.0,med
50448.0,med
51318.0,med
51531.0,med
5183.0,med
52991.0,med
53184.0,med
54843.0,med
54852.0,med
55238.0,med
55628.0,med
55810.0,med
56212.0,med
56594.0,med
58865.0,med
62914.0,med
63192.0,med
63578.0,med
64854.0,med
65641.0,med
69912.0,med
71477.0,med
7429.0,med
771.0,med
8208.0,med
829.0,med
8920.0,med
93977.0,med
96103.0,med
96948.0,med
9834.0,med
N11..11,readv2
N11..12,readv2
N110.12,readv2
N11D.00,readv2
N11D000,readv2
N11D100,readv2
N11D300,readv2
N11z.11,readv2
N110.00,readv2
N110.11,readv2
N111.00,readv2
N11E.00,readv2
N110000,readv2
N111000,readv2
N112000,readv2
N113000,readv2
N114000,readv2
N115000,readv2
N119000,readv2
N11B000,readv2
N11C000,readv2
N110100,readv2
N111100,readv2
N112100,readv2
N114100,readv2
N115100,readv2
N119100,readv2
N11B100,readv2
N11C100,readv2
N110200,readv2
N111200,readv2
N112200,readv2
N113200,readv2
N114200,readv2
N115200,readv2
N119200,readv2
N11B200,readv2
N11C200,readv2
N112.00,readv2
N112.11,readv2
N113.00,readv2
N114.00,readv2
N115.00,readv2
N11C.00,readv2
N114.11,readv2
N114.12,readv2
N11D200,readv2
N119.00,readv2
N11B.00,readv2
M47.9,icd10
